team,player,position,dob,nationality
Switzerland,Gregor Kobel,Goalkeeper,1997-12-06,Switzerland
Switzerland,Yvon Mvogo,Goalkeeper,1994-06-06,Switzerland
Switzerland,Marvin Keller,Goalkeeper,2002-07-03,Switzerland
Switzerland,Manuel Akanji,Defence,1995-07-19,Switzerland
Switzerland,Ricardo Rodriguez,Defence,1992-08-25,Switzerland
Switzerland,Silvan Widmer,Defence,1993-03-05,Switzerland
Switzerland,Nico Elvedi,Defence,1996-09-30,Switzerland
Switzerland,Eray Cömert,Defence,1998-02-04,Switzerland
Switzerland,Miro Muheim,Defence,1998-03-24,Switzerland
Switzerland,Aurele Amenda,Defence,2003-07-31,Switzerland
Switzerland,Luca Jaquez,Defence,2003-06-02,Switzerland
Switzerland,Remo Freuler,Midfield,1992-04-15,Switzerland
Switzerland,Granit Xhaka,Midfield,1992-09-27,Switzerland
Switzerland,Denis Zakaria,Midfield,1996-11-20,Switzerland
Switzerland,Michel Aebischer,Midfield,1997-01-06,Switzerland
Switzerland,Djibril Sow,Midfield,1997-02-06,Switzerland
Switzerland,Christian Fassnacht,Midfield,1993-11-11,Switzerland
Switzerland,Ruben Vargas,Midfield,1998-08-05,Switzerland
Switzerland,Ardon Jasari,Midfield,2002-07-30,Switzerland
Switzerland,Fabian Rieder,Midfield,2002-02-16,Switzerland
Switzerland,Johan Manzambi,Midfield,2005-10-14,Switzerland
Switzerland,Breel Embolo,Offence,1997-02-14,Switzerland
Switzerland,Noah Okafor,Offence,2000-05-24,Switzerland
Switzerland,Cédric Itten,Offence,1996-12-27,Switzerland
Switzerland,Dan Ndoye,Offence,2000-10-25,Switzerland
Switzerland,Zeki Amdouni,Offence,2000-12-04,Switzerland
Ecuador,Hernán Galíndez,Goalkeeper,1987-03-30,Ecuador
Ecuador,Gonzalo Valle,Goalkeeper,1996-02-28,Ecuador
Ecuador,Moisés Ramírez,Goalkeeper,2000-09-09,Ecuador
Ecuador,Ángelo Preciado,Defence,1998-02-18,Ecuador
Ecuador,Félix Torres,Defence,1997-01-11,Ecuador
Ecuador,Pervis Estupiñán,Defence,1998-01-21,Ecuador
Ecuador,William Pacho,Defence,2001-10-16,Ecuador
Ecuador,Jackson Porozo,Defence,2000-08-04,Ecuador
Ecuador,Piero Hincapié,Defence,2002-01-09,Ecuador
Ecuador,Joel Ordoñez,Defence,2004-04-21,Ecuador
Ecuador,Yaimar Medina,Defence,2004-11-05,Ecuador
Ecuador,Alan Franco,Midfield,1998-08-21,Ecuador
Ecuador,Jordy Alcívar,Midfield,1999-08-05,Ecuador
Ecuador,Gonzalo Plata,Midfield,2000-11-01,Ecuador
Ecuador,Moisés Caicedo,Midfield,2001-11-02,Ecuador
Ecuador,Pedro Vite,Midfield,2002-03-09,Ecuador
Ecuador,Alan Minda,Midfield,2003-05-14,Ecuador
Ecuador,Ray Paez,Midfield,2007-05-04,Ecuador
Ecuador,Denil Castillo,Midfield,2004-03-24,Ecuador
Ecuador,Jordy Caicedo,Offence,1997-11-18,Ecuador
Ecuador,Enner Valencia,Offence,1989-11-04,Ecuador
Ecuador,John Yeboah,Offence,2000-06-23,Ecuador
Ecuador,Anthony Valencia,Offence,2003-07-21,Ecuador
Ecuador,Nilson Angulo,Offence,2003-06-19,Ecuador
Ecuador,Kevin Rodríguez,Offence,2000-03-04,Ecuador
Ecuador,Jeremy,Offence,2005-03-19,Ecuador
Sweden,Kristoffer Nordfeldt,Goalkeeper,1989-06-23,Sweden
Sweden,Viktor Johansson,Goalkeeper,1998-09-14,Sweden
Sweden,Jacob Widell Zetterström,Goalkeeper,1998-07-11,Sweden
Sweden,Victor Nilsson-Lindelöf,Defence,1994-07-17,Sweden
Sweden,Carl Starfelt,Defence,1995-06-01,Sweden
Sweden,Gabriel Gudmundsson,Defence,1999-04-29,Sweden
Sweden,Hjalmar Ekdal,Defence,1998-10-21,Sweden
Sweden,Eric Smith,Defence,1997-01-08,Sweden
Sweden,Daniel Svensson,Defence,2002-02-12,Sweden
Sweden,Gustaf Lagerbielke,Defence,2000-04-10,Sweden
Sweden,Isak Hien,Defence,1999-01-13,Sweden
Sweden,Herman Johansson,Defence,1997-10-16,Sweden
Sweden,Elliot Stroud,Defence,2002-06-22,Sweden
Sweden,Ken Sema,Midfield,1993-09-30,Sweden
Sweden,Mattias Svanberg,Midfield,1999-01-05,Sweden
Sweden,Jesper Karlström,Midfield,1995-06-21,Sweden
Sweden,Yasin Ayari,Midfield,2003-10-06,Sweden
Sweden,Besfort Zeneli,Midfield,2002-11-21,Sweden
Sweden,Taha Ali,Midfield,1998-07-01,Sweden
Sweden,Lucas Bergvall,Midfield,2006-02-02,Sweden
Sweden,Alexander Isak,Offence,1999-09-21,Sweden
Sweden,Viktor Gyökeres,Offence,1998-06-04,Sweden
Sweden,Gustaf Nilsson,Offence,1997-05-23,Sweden
Sweden,Benjamin Nygren,Offence,2001-07-08,Sweden
Sweden,Alexander Bernhardsson,Offence,1998-09-08,Sweden
Sweden,Anthony Elanga,Offence,2002-04-27,Sweden
Czechia,Jindřich Staněk,Goalkeeper,1996-04-27,Czech Republic
Czechia,Matej Kovar,Goalkeeper,2000-05-17,Czech Republic
Czechia,Lukáš Horníček,Goalkeeper,2002-07-13,Czech Republic
Czechia,Jaroslav Zelený,Defence,1992-08-20,Czech Republic
Czechia,Vladimir Coufal,Defence,1992-08-22,Czech Republic
Czechia,Tomáš Holeš,Defence,1993-03-31,Czech Republic
Czechia,David Zima,Defence,2000-11-08,Czech Republic
Czechia,David Jurásek,Defence,2000-08-07,Czech Republic
Czechia,Robin Hranac,Defence,2000-01-29,Czech Republic
Czechia,Štěpán Chaloupek,Defence,2003-03-08,Czech Republic
Czechia,Ladislav Krejčí,Midfield,1999-04-20,Czech Republic
Czechia,Vladimír Darida,Midfield,1990-08-08,Czech Republic
Czechia,Tomáš Souček,Midfield,1995-02-27,Czech Republic
Czechia,David Douděra,Midfield,1998-05-31,Czech Republic
Czechia,Michal Sadílek,Midfield,1999-05-31,Czech Republic
Czechia,Lukáš Provod,Midfield,1996-10-23,Czech Republic
Czechia,Pavel Šulc,Midfield,2000-12-29,Czech Republic
Czechia,Lukáš Červ,Midfield,2001-04-10,Czech Republic
Czechia,Denis Višinský,Midfield,2003-03-21,Czech Republic
Czechia,Alexandr Sojka,Midfield,2003-04-02,Czech Republic
Czechia,Hugo Sochůrek,Midfield,2008-06-07,Czech Republic
Czechia,Patrik Schick,Offence,1996-01-24,Czech Republic
Czechia,Tomáš Chorý,Offence,1995-01-26,Czech Republic
Czechia,Jan Kuchta,Offence,1997-01-08,Czech Republic
Czechia,Adam Hložek,Offence,2002-07-25,Czech Republic
Czechia,Mojmír Chytil,Offence,1999-04-29,Czech Republic
Croatia,Dominik Livaković,Goalkeeper,1995-01-09,Croatia
Croatia,Ivor Pandur,Goalkeeper,2000-03-25,Croatia
Croatia,Dominik Kotarski,Goalkeeper,2000-02-10,Croatia
Croatia,Duje Ćaleta-Car,Defence,1996-09-17,Croatia
Croatia,Marin Pongračić,Defence,1997-09-11,Croatia
Croatia,Martin Erlic,Defence,1998-01-24,Croatia
Croatia,Josip Stanišić,Defence,2000-04-02,Croatia
Croatia,Joško Gvardiol,Defence,2002-01-23,Croatia
Croatia,Josip Šutalo,Defence,2000-02-28,Croatia
Croatia,Luka Vušković,Defence,2007-02-24,Croatia
Croatia,Luka Modrić,Midfield,1985-09-09,Croatia
Croatia,Mateo Kovačić,Midfield,1994-05-06,Croatia
Croatia,Mario Pašalić,Midfield,1995-02-09,Croatia
Croatia,Nikola Vlašić,Midfield,1997-10-04,Croatia
Croatia,Nikola Moro,Midfield,1998-03-12,Croatia
Croatia,Kristijan Jakić,Midfield,1997-05-14,Croatia
Croatia,Luka Sučić,Midfield,2002-09-08,Croatia
Croatia,Petar Sucic,Midfield,2003-10-25,Croatia
Croatia,Martin Baturina,Midfield,2003-02-16,Croatia
Croatia,Toni Fruk,Midfield,2001-03-09,Croatia
Croatia,Andrej Kramarić,Offence,1991-06-19,Croatia
Croatia,Ivan Perišić,Offence,1989-02-02,Croatia
Croatia,Ante Budimir,Offence,1991-07-22,Croatia
Croatia,Petar Musa,Offence,1998-03-04,Croatia
Croatia,Marco Pašalić,Offence,2000-09-14,Croatia
Croatia,Igor Matanovic,Offence,2003-03-31,Croatia
Saudi Arabia,Mohammed Al Owais,Goalkeeper,1991-10-10,Saudi Arabia
Saudi Arabia,Nawaf Al Aqidi,Goalkeeper,2000-05-10,Saudi Arabia
Saudi Arabia,Ahmed Al Kassar,Goalkeeper,1991-05-08,Saudi Arabia
Saudi Arabia,Abdulelah Al Amri,Defence,1997-01-15,Saudi Arabia
Saudi Arabia,Saud Abdulhamid,Defence,1999-07-18,Saudi Arabia
Saudi Arabia,Ali Lajami,Defence,1996-04-24,Saudi Arabia
Saudi Arabia,Hassan Al Tambakti,Defence,1999-02-09,Saudi Arabia
Saudi Arabia,Hassan Kadesh,Defence,1992-09-27,Saudi Arabia
Saudi Arabia,Moteb Al Harbi,Defence,2000-02-20,Saudi Arabia
Saudi Arabia,Ali Majrashi,Defence,1999-10-01,Saudi Arabia
Saudi Arabia,Jehad Thakri,Defence,2001-07-21,Saudi Arabia
Saudi Arabia,Nawaf Boushal,Defence,1999-09-16,Saudi Arabia
Saudi Arabia,Salem Al Dawsari,Midfield,1991-08-19,Saudi Arabia
Saudi Arabia,Abdullah Al Khaibari,Midfield,1996-08-16,Saudi Arabia
Saudi Arabia,Nasser Al Dawsari,Midfield,1998-12-19,Saudi Arabia
Saudi Arabia,Ayman Yahya,Midfield,2001-05-14,Saudi Arabia
Saudi Arabia,Musab Al Juwayr,Midfield,2003-06-20,Saudi Arabia
Saudi Arabia,Mohammed Kanno,Midfield,1994-09-22,Saudi Arabia
Saudi Arabia,Ziyad Al-Johani,Midfield,2001-11-11,Saudi Arabia
Saudi Arabia,Mohammed Abu Al Shamat,Midfield,2002-08-11,Saudi Arabia
Saudi Arabia,Alaa Al Hejji,Midfield,1995-12-03,Saudi Arabia
Saudi Arabia,Sultan Mandash,Offence,1994-10-17,Saudi Arabia
Saudi Arabia,Saleh Al Shehri,Offence,1993-11-01,Saudi Arabia
Saudi Arabia,Abdullah Al-Hamdan,Offence,1999-09-12,Saudi Arabia
Saudi Arabia,Khalid Al Ghannam,Offence,2000-11-07,Saudi Arabia
Saudi Arabia,Firas Al Brikan,Offence,2000-05-14,Saudi Arabia
Tunisia,Aymen Dahmen,Goalkeeper,1997-01-28,Tunisia
Tunisia,Sabri Ben Hessen,Goalkeeper,1996-06-13,Tunisia
Tunisia,Abdelmouhib Chamakh,Goalkeeper,2001-08-25,Tunisia
Tunisia,Dylan Bronn,Defence,1995-06-19,Tunisia
Tunisia,Ali El Abdi,Defence,1993-12-20,Tunisia
Tunisia,Yan Valery,Defence,1999-02-22,Tunisia
Tunisia,Mortadha Ben Ouanes,Defence,1994-07-02,Tunisia
Tunisia,Omar Rekik,Defence,2001-12-20,Tunisia
Tunisia,Yassine Chikhaoui,Defence,2004-06-09,
Tunisia,Montassar Talbi,Defence,1998-05-26,Tunisia
Tunisia,Moutaz Neffati,Defence,2004-09-04,Tunisia
Tunisia,Mohamed Amine Ben Hamida,Defence,1995-12-15,Tunisia
Tunisia,Adem Arous,Defence,2004-07-17,Tunisia
Tunisia,Ellyes Skhiri,Midfield,1995-05-10,Tunisia
Tunisia,Rani Khedira,Midfield,1994-01-27,Tunisia
Tunisia,Anis Ben Slimane,Midfield,2001-03-16,Tunisia
Tunisia,Ismaël Gharbi,Midfield,2004-04-10,Tunisia
Tunisia,Hannibal Mejbri,Midfield,2003-01-21,Tunisia
Tunisia,Elias Achouri,Midfield,1999-02-10,Tunisia
Tunisia,Hadj Mahmoud,Midfield,2000-04-24,Tunisia
Tunisia,Sebastian Tounekti,Offence,2002-07-13,Tunisia
Tunisia,Firas Chaouat,Offence,1996-05-08,Tunisia
Tunisia,Elias Saad,Offence,1999-12-27,Tunisia
Tunisia,Hazem Mastouri,Offence,1997-06-18,Tunisia
Tunisia,Rayan Elloumi,Offence,2007-09-17,Tunisia
Tunisia,Khalil Ayari,Offence,2005-02-02,Tunisia
Turkey,Mert Günok,Goalkeeper,1989-03-01,Turkey
Turkey,Altay Bayındır,Goalkeeper,1998-04-14,Turkey
Turkey,Uğurcan Çakır,Goalkeeper,1996-04-05,Turkey
Turkey,Çağlar Söyüncü,Defence,1996-05-23,Turkey
Turkey,Kaan Ayhan,Defence,1994-11-10,Turkey
Turkey,Ferdi Kadıoğlu,Defence,1999-10-07,Turkey
Turkey,Mert Müldür,Defence,1999-04-03,Turkey
Turkey,Zeki Çelik,Defence,1997-02-17,Turkey
Turkey,Abdülkerim Bardakcı,Defence,1994-09-07,Turkey
Turkey,Ozan Kabak,Defence,2000-03-25,Turkey
Turkey,Merih Demiral,Defence,1998-03-05,Turkey
Turkey,Samet Akaydın,Defence,1994-03-13,Turkey
Turkey,Evren Eren Elmalı,Defence,2000-07-07,Turkey
Turkey,Salih Özcan,Midfield,1998-01-11,Turkey
Turkey,Hakan Çalhanoğlu,Midfield,1994-02-08,Turkey
Turkey,Orkun Kökçü,Midfield,2000-12-29,Turkey
Turkey,İsmail Yüksek,Midfield,1999-01-26,Turkey
Turkey,Arda Guler,Midfield,2005-02-25,Turkey
Turkey,Oguz Aydin,Midfield,2000-10-27,Turkey
Turkey,Baris Yilmaz,Midfield,2000-05-23,Turkey
Turkey,İrfan Kahveci,Midfield,1995-07-15,Turkey
Turkey,Yunus Akgün,Offence,2000-07-07,Turkey
Turkey,Muhammed Kerem Aktürkoğlu,Offence,1998-10-21,Turkey
Turkey,Deniz Gul,Offence,2004-07-02,Turkey
Turkey,Kenan Yıldız,Offence,2005-05-04,Turkey
Turkey,Can Uzun,Offence,2005-11-11,Turkey
Senegal,Edouard Mendy,Goalkeeper,1992-03-01,Senegal
Senegal,Yehvann Diouf,Goalkeeper,1999-11-16,Senegal
Senegal,Mory Diaw,Goalkeeper,1993-06-22,Senegal
Senegal,Ismail Jakobs,Defence,1999-08-17,Senegal
Senegal,Kalidou Koulibaly,Defence,1991-06-20,Senegal
Senegal,Moussa Niakhaté,Defence,1996-03-08,Senegal
Senegal,Abdoulaye Seck,Defence,1992-06-04,Senegal
Senegal,Antoine Mendy,Defence,2004-05-27,Senegal
Senegal,Mamadou Sarr,Defence,2005-08-29,Senegal
Senegal,El Hadji Diouf,Defence,2004-12-28,Senegal
Senegal,Pape Gueye,Midfield,1999-01-24,Senegal
Senegal,Idrissa Gana Guèye,Midfield,1989-09-26,Senegal
Senegal,Ismaïla Sarr,Midfield,1998-02-25,Senegal
Senegal,Krépin Diatta,Midfield,1999-02-25,Senegal
Senegal,Pathé Ciss,Midfield,1994-03-16,Senegal
Senegal,Iliman Ndiaye,Midfield,2000-03-06,Senegal
Senegal,Pape Sarr,Midfield,2002-09-14,Senegal
Senegal,Habib Diarra,Midfield,2004-01-03,Senegal
Senegal,Lamine Camara,Midfield,2004-01-01,Senegal
Senegal,Bara Ndiaye,Midfield,2007-12-31,Senegal
Senegal,Sadio Mané,Offence,1992-04-10,Senegal
Senegal,Cherif Ndiaye,Offence,1996-01-23,Senegal
Senegal,Nicolas Jackson,Offence,2001-06-20,Senegal
Senegal,Ahmadou Bamba Dieng,Offence,2000-03-23,Senegal
Senegal,Assane Diao,Offence,2005-09-07,Senegal
Senegal,Ibrahim M'Baye,Offence,2008-01-24,Senegal
Senegal,Pape Thiaw,Coach,1981-02-05,Senegal
Belgium,Thibaut Courtois,Goalkeeper,1992-05-11,Belgium
Belgium,Senne Lammens,Goalkeeper,2002-07-07,Belgium
Belgium,Mike Penders,Goalkeeper,2005-07-31,Belgium
Belgium,Timothy Castagne,Defence,1995-12-05,Belgium
Belgium,Thomas Meunier,Defence,1991-09-12,Belgium
Belgium,Brandon Mechele,Defence,1993-01-28,Belgium
Belgium,Maxim De Cuyper,Defence,2000-12-22,Belgium
Belgium,Arthur Theate,Defence,2000-05-25,Belgium
Belgium,Koni De Winter,Defence,2002-06-12,Belgium
Belgium,Zeno Debast,Defence,2003-10-24,Belgium
Belgium,Nathan Ngoy,Defence,2003-06-10,Belgium
Belgium,Joaquin Seys,Defence,2005-03-28,Belgium
Belgium,Kevin De Bruyne,Midfield,1991-06-28,Belgium
Belgium,Axel Witsel,Midfield,1989-01-12,Belgium
Belgium,Youri Tielemans,Midfield,1997-05-07,Belgium
Belgium,Dodi Lukebakio,Midfield,1997-09-24,Belgium
Belgium,Alexis Saelemaekers,Midfield,1999-06-27,Belgium
Belgium,Hans Vanaken,Midfield,1992-08-24,Belgium
Belgium,Nicolas Raskin,Midfield,2001-02-23,Belgium
Belgium,Jeremy Doku,Midfield,2002-05-27,Belgium
Belgium,Amadou Onana,Midfield,2001-08-16,Belgium
Belgium,Diego Moreira,Midfield,2004-08-06,Belgium
Belgium,Romelu Lukaku,Offence,1993-05-13,Belgium
Belgium,Leandro Trossard,Offence,1994-12-04,Belgium
Belgium,Charles De Ketelaere,Offence,2001-03-10,Belgium
Belgium,Matias Fernandez-Pardo,Offence,2005-02-03,Belgium
Morocco,Munir Mohamedi,Goalkeeper,1989-05-10,Morocco
Morocco,Yassine Bounou,Goalkeeper,1991-04-05,Morocco
Morocco,Ahmed Reda Tagnaouti,Goalkeeper,1996-04-05,Morocco
Morocco,Achraf Hakimi,Defence,1998-11-04,Morocco
Morocco,Noussair Mazraoui,Defence,1997-11-14,Morocco
Morocco,Issa Diop,Defence,1997-01-09,France
Morocco,Nayef Aguerd,Defence,1996-03-30,Morocco
Morocco,Anass Salah-Eddine,Defence,2002-01-18,Morocco
Morocco,Chadi Riad,Defence,2003-06-17,Morocco
Morocco,Redouane Halhal,Defence,2003-03-05,France
Morocco,Zakaria El Ouahdi,Defence,2001-12-31,Morocco
Morocco,Youssef Belammari,Defence,1998-09-20,Morocco
Morocco,Sofyan Amrabat,Midfield,1996-08-21,Morocco
Morocco,Brahim Diaz,Midfield,1999-08-03,Morocco
Morocco,Azzedine Ounahi,Midfield,2000-04-19,Morocco
Morocco,Ismael Saibari,Midfield,2001-01-28,Morocco
Morocco,Neil El Aynaoui,Midfield,2001-07-02,Morocco
Morocco,Bilal El Khannouss,Midfield,2005-05-09,Morocco
Morocco,Chemsdine Talbi,Midfield,2005-05-09,Morocco
Morocco,Ayyoub Bouaddi,Midfield,2007-10-02,France
Morocco,Samir El Mourabet,Midfield,2005-10-06,Morocco
Morocco,Soufiane Rahimi,Offence,1996-06-02,Morocco
Morocco,Ayoub El Kaabi,Offence,1993-06-25,Morocco
Morocco,Abdessamad Ezzalzouli,Offence,2001-12-17,Morocco
Morocco,Gessime Yassine,Offence,2005-11-22,France
Morocco,Ayoube Amaimouni-Echghouyab,Offence,2004-11-30,Morocco
Austria,Alexander Schlager,Goalkeeper,1996-02-01,Austria
Austria,Patrick Pentz,Goalkeeper,1997-01-02,Austria
Austria,Florian Wiegele,Goalkeeper,2001-03-21,Austria
Austria,David Alaba,Defence,1992-06-24,Austria
Austria,Stefan Posch,Defence,1997-05-14,Austria
Austria,Philipp Mwene,Defence,1994-01-29,Austria
Austria,Kevin Danso,Defence,1998-09-19,Austria
Austria,Marco Friedl,Defence,1998-03-16,Austria
Austria,Philipp Lienhart,Defence,1996-07-11,Austria
Austria,Michael Svoboda,Defence,1998-10-15,Austria
Austria,Alexander Prass,Defence,2001-05-26,Austria
Austria,David Affengruber,Defence,2001-03-19,Austria
Austria,Florian Grillitsch,Midfield,1995-08-07,Austria
Austria,Alessandro Schöpf,Midfield,1994-02-07,Austria
Austria,Konrad Laimer,Midfield,1997-05-27,Austria
Austria,Marcel Sabitzer,Midfield,1994-03-17,Austria
Austria,Xaver Schlager,Midfield,1997-09-28,Austria
Austria,Romano Schmid,Midfield,2000-01-27,Austria
Austria,Christoph Baumgartner,Midfield,1999-08-01,Austria
Austria,Nicolas  Seiwald,Midfield,2001-05-04,Austria
Austria,Patrick Wimmer,Midfield,2001-05-30,Austria
Austria,Carney Chukwuemeka,Midfield,2003-10-20,Austria
Austria,Paul Wanner,Midfield,2005-12-23,Austria
Austria,Michael Gregoritsch,Offence,1994-04-18,Austria
Austria,Marko Arnautovic,Offence,1989-04-19,Austria
Austria,Saša Kalajdžić,Offence,1997-07-07,Austria
Colombia,Camilo Vargas,Goalkeeper,1989-03-09,Colombia
Colombia,David Ospina,Goalkeeper,1988-08-31,Colombia
Colombia,Álvaro Montero,Goalkeeper,1995-03-29,Colombia
Colombia,Santiago Arias,Defence,1992-01-13,Colombia
Colombia,Johan Mojica,Defence,1992-08-21,Colombia
Colombia,Yerry Mina,Defence,1994-09-23,Colombia
Colombia,Davinson Sánchez,Defence,1996-06-12,Colombia
Colombia,Deiver Machado,Defence,1993-09-02,Colombia
Colombia,Daniel Muñoz,Defence,1996-05-26,Colombia
Colombia,Jhon Lucumí,Defence,1998-06-26,Colombia
Colombia,Willer Ditta,Defence,1997-01-23,Colombia
Colombia,James Rodríguez,Midfield,1991-07-12,Colombia
Colombia,Juan Fernando Quintero,Midfield,1993-01-18,Colombia
Colombia,Jefferson Lerma,Midfield,1994-10-25,Colombia
Colombia,Jhon Arias,Midfield,1997-09-21,Colombia
Colombia,Jorge Carrascal,Midfield,1998-05-25,Colombia
Colombia,Kevin Castaño,Midfield,2000-09-29,Colombia
Colombia,Jaminton Campaz,Midfield,2000-05-24,Colombia
Colombia,Richard Rios,Midfield,2000-06-02,Colombia
Colombia,Juan Portilla,Midfield,1998-09-12,Colombia
Colombia,Gustavo Puerta,Midfield,2003-07-23,Colombia
Colombia,Jhon Córdoba,Offence,1993-05-11,Colombia
Colombia,Luis Díaz,Offence,1997-01-13,Colombia
Colombia,Luis Suárez,Offence,1997-12-02,Colombia
Colombia,Cucho Hernández,Offence,1999-04-20,Colombia
Colombia,Carlos Gómez,Offence,2002-09-12,Colombia
Egypt,Mohamed El Shenawy,Goalkeeper,1988-12-18,Egypt
Egypt,Mohamed Alaa,Goalkeeper,1999-09-01,Egypt
Egypt,Oufa Shobeir,Goalkeeper,2000-03-17,Egypt
Egypt,El Mahdi Soliman,Goalkeeper,1987-06-08,Egypt
Egypt,Karim Hafez,Defence,1996-03-12,Egypt
Egypt,Mohamed Hany,Defence,1996-01-25,Egypt
Egypt,Yasser Ibrahim,Defence,1993-02-10,Egypt
Egypt,Ahmed El Fotouh,Defence,1998-03-22,Egypt
Egypt,Mohamed Abdelmonem,Defence,1999-02-01,Egypt
Egypt,Rami Rabia,Defence,1993-05-20,Egypt
Egypt,Hossam Abdelmaguid,Defence,2001-04-30,Egypt
Egypt,Tarek Alaa,Defence,2002-01-05,Egypt
Egypt,Zizo,Midfield,1996-01-10,Egypt
Egypt,Nabil Dunga,Midfield,1996-04-06,Egypt
Egypt,Hamdy Fathy,Midfield,1994-09-29,Egypt
Egypt,Trezeguet,Midfield,1994-10-01,Egypt
Egypt,Emam Ashour,Midfield,1998-02-20,Egypt
Egypt,Mohanad Lashin,Midfield,1996-05-29,Egypt
Egypt,Marwan Attia,Midfield,1998-08-12,Egypt
Egypt,Mahmoud Saber,Midfield,2001-07-30,Egypt
Egypt,Mostafa Ziko,Midfield,1997-04-27,Egypt
Egypt,Mohamed Salah,Offence,1992-06-15,Egypt
Egypt,Omar Marmoush,Offence,1999-02-07,Egypt
Egypt,Haissem Hassan,Offence,2002-02-08,Egypt
Egypt,Ibrahim Adel,Offence,2001-04-24,Egypt
Egypt,Hamza Abdelkarim,Offence,2008-01-01,Egypt
Canada,Maxime Crépeau,Goalkeeper,1994-05-11,Canada
Canada,Dayne St. Clair,Goalkeeper,1997-05-09,Canada
Canada,Owen Goodman,Goalkeeper,2003-11-27,Canada
Canada,Alphonso Davies,Defence,2000-11-02,Canada
Canada,Richie Laryea,Defence,1995-01-07,Canada
Canada,Alfie Jones,Defence,1997-10-07,Canada
Canada,Joel Waterman,Defence,1996-01-24,Canada
Canada,Derek Cornelius,Defence,1997-11-25,Canada
Canada,Alistair Johnston,Defence,1998-10-08,Canada
Canada,Moise Bombito,Defence,2000-03-30,Canada
Canada,Luc De Fougerolles,Defence,2005-10-12,Canada
Canada,Jonathan Osorio,Midfield,1992-12-06,Canada
Canada,Stephen Eustáquio,Midfield,1996-12-21,Canada
Canada,Mathieu Choinière,Midfield,1999-02-07,Canada
Canada,Tajon Buchanan,Midfield,1999-02-08,Canada
Canada,Marcelo Flores,Midfield,2003-10-01,Canada
Canada,Nathan-Dylan Saliba,Midfield,2004-02-07,Canada
Canada,Ismael Kone,Midfield,2002-06-06,Canada
Canada,Ali Ahmed,Midfield,2000-10-10,Canada
Canada,Niko Sigur,Midfield,2003-09-09,Canada
Canada,Jonathan David,Offence,2000-01-14,Canada
Canada,Cyle Larin,Offence,1995-04-17,Canada
Canada,Liam Millar,Offence,1999-09-27,Canada
Canada,Jacob Shaffelburg,Offence,1999-11-26,Canada
Canada,Tani Oluwaseyi,Offence,2000-05-15,Canada
Canada,Promise Akinpelu,Offence,2001-07-03,Canada
Haiti,Alexandre Pierre,Goalkeeper,2001-02-25,Haiti
Haiti,Johny Placide,Goalkeeper,1988-01-29,Haiti
Haiti,Josué Duverger,Goalkeeper,2000-04-27,Haiti
Haiti,Carlens Arcus,Defence,1996-06-28,Haiti
Haiti,Jean-Kevin Duverne,Defence,1997-08-12,Haiti
Haiti,Hannes Delcroix,Defence,1999-02-28,Haiti
Haiti,Martin Expérience,Defence,1999-03-09,Haiti
Haiti,Ricardo Adé,Defence,1990-05-21,Haiti
Haiti,Duke LaCroix,Defence,1993-10-14,Haiti
Haiti,Garven-Michee Metusala,Defence,1999-12-31,Haiti
Haiti,Keeto Thermoncy,Defence,2006-03-29,Haiti
Haiti,Wilguens Paugain,Defence,2001-08-24,Haiti
Haiti,Jean-Ricner Bellegarde,Midfield,1998-06-27,Haiti
Haiti,Derrick Etienne,Midfield,1996-11-25,Haiti
Haiti,Danley Jean Jacques,Midfield,2000-05-20,Haiti
Haiti,Dominique Simon,Midfield,2000-07-29,Haiti
Haiti,Carl Sainté,Midfield,2002-08-09,Haiti
Haiti,Woodensky Pierre,Midfield,2004-12-30,Haiti
Haiti,Duckens Nazon,Offence,1994-04-07,Haiti
Haiti,Frantzdy Pierrot,Offence,1995-03-29,Haiti
Haiti,Yassin Fortune,Offence,1999-01-30,Haiti
Haiti,Wilson Isidor,Offence,2000-08-27,Haiti
Haiti,Lenny Joseph,Offence,2000-10-12,Haiti
Haiti,Louicius Don Deedson,Offence,2001-02-11,Haiti
Haiti,Josué Casimir,Offence,2001-09-24,Haiti
Haiti,Ruben Providence,Offence,2001-07-07,Haiti
Iran,Hossein Hosseini,Goalkeeper,1992-06-30,Iran
Iran,Payam Niazmand,Goalkeeper,1995-04-06,Iran
Iran,Alireza Beiranvand,Goalkeeper,1992-09-21,Iran
Iran,Ehsan Hajsafi,Defence,1990-02-25,Iran
Iran,Ramin Rezaeian,Defence,1990-03-21,Iran
Iran,Milad Mohammadi,Defence,1993-09-29,Iran
Iran,Hossein Kanaanizadegan,Defence,1994-03-23,Iran
Iran,Shojae Khalilzadeh,Defence,1989-05-14,Iran
Iran,Rouzbeh Cheshmi,Defence,1993-07-24,Iran
Iran,Saleh Hardani,Defence,1998-12-26,Iran
Iran,Ali Nemati,Defence,1996-02-07,Iran
Iran,Danial Eiri,Defence,2003-10-26,Iran
Iran,Saeid Ezatolahi,Midfield,1996-10-01,Iran
Iran,Mehdi Torabi,Midfield,1994-09-10,Iran
Iran,Mohammad Ghorbani,Midfield,2001-05-21,Iran
Iran,Ariya Yousefi,Midfield,2002-04-22,Iran
Iran,Medhi Ghayedi,Midfield,1998-12-05,Iran
Iran,Amir Razzaghinia,Midfield,2006-04-11,Iran
